shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
bē-xuðṓy	be-xuðoy													безбожник		
bē-zamī́n	be-zamin													безземельный		
bē-ziryṓt	be-ziryot													бездетный		
bē-zū́γ̌	be-zuγ̌													безрукавка		
bē-γám	be-γam													беззаботный		
bēčōrā́	bečora													бедняк, беспомощный	Bār-Xaráγ-andír mu dōd rā́ng-ti bēčōrā́ i-yṓr-aθ na vud в Верхнем Хороге не было другого такого бедняка, как мой отец	
bēčōra-parwár	bečora-parwar													покровитель бедных, благотворитель		
bēčōragí	bečoragi													бедность, нужда, беспомощность		
bēdarák	bedarak													безвестный; без толку, попусту, зря	māš kōr bēdarák sůd наша работа напрасна; tarám čīr sāwi bēdarákaθ? зачем туда едешь без толку? bēdarák gāp ðêdṓw болтать зря, говорить глупости	
bēdarakí	bedaraki													бестолочь, бестолковость, пустяки, нелепость		
bēðindůní	beðinduni													беззубость, отсутствие зубов	as dásti bēðindůní qōq garðā́ xīdṓw na vā́r-ðiyúm из-за отсутствия зубов я не могу есть черствый хлеб	
bēdṓr	bedor													бодрствующий, проснувшийся; бдительный		
bēfōydagí	befoydagi													бесполезность, безрезультатность, невыгодность		
bēginōgí	beginogi,begunogi	bēgunōgí												невиновность, невинность		
bēgōrí	begori													большая работа (постройка здания, проведение арыка и т. п.)		
bēgumů́n	begumun													несомненно, без сомнения, достоверно		
bēgůnā́	beguna													чужой, чужак, безродный, посторонний		
bēgůnagí	begunagi													чуждость, отчуждение;безродность, отсутствие родных		
bēilmí	beilmi													необразованность		
beinsōfí	beinsofi													бессовестность, недобросовестность, бесстыдство; несправедливость		
bēk	bek													бек	Azī́z-bēk, Bēk-Māmád	употребляется только как составная часть собств. имен
bēkasōtí	bekasoti													одиночество, сиротство, беспризорность	wā́ð-ēn fuk waxt as xu bēkasōtí rāmaǰínaθ pi mardúm-and falt из-за своего сиротства они постоянно жалобно поглядывали на людей	
bēkát	bekat													станция, станционное помещение для ночлега		
bēkṓr	bekor													свободный, незанятый, (находящийся) не у дел; ненужный, бесполезный, непригодный	zimistů́n-and mardúm as digá fas- lḗn bēkōrdí зимой люди свободнее, чем в другое время года	
bēkṓr čīdṓw	bekor čidow													уволить, отставить; освободить	a-rō, falůní ǰiwṓl-and-um zimistů́n xu tůγm lāk čū́γ̌ǰat, šíč-um tām bēkṓr wam čuγ̌ǰ я освободил тот мешок, в который зимой клал семена	
bēkōrā́	bekora													бездельный, бесполезный, ненужный, негодный, бездельник		
bēkōragí	bekoragi													бездельность, бесполезность, непригодность, негодность		
bēkōrí	bekori													незанятость, отсутствие работы, безделье	bēkōrí mēθ выходной день	
bēl	bel													железная лопата	fay ðōr-gín atā bēl sipinín „fay“ — деревянная (лопата), a „bēl“— железная	
bēlát	belat													билет, документ, паспорт		
bēlčák	belčak													железная лопатка для золы и углей		
bêmadůní	bemaduni													такой-то, поименованный, имярек (после предшествовавшего falůní)	falůní as bêmadůní-yi mu xḗz-and wi γēbát čūd такой-то в моем присутствии чернил такого-то	
bēmazā́	bemaza													безвкусный, невкусный, безобразный, недопустимый, некрасивый, пошлый	yam ōš nur bēmazā́ это кушанье сегодня невкусно; tu bēmazā́ gāp mā ða не говори недопустимых вещей	
bēmṓr	bemor													больной		
bēmōr-xůnā́	bemor-xuna													больница		
bēmōrí	bemori													болезнь		
bēn	ben													ладонь	čōγ̌ʒ mu bḗn-and ðōd шило поранило мне ладонь; naswṓr mu bḗn-ti kin насыпь мне жевательного табаку на ладонь	
