shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
čalák	čalak												ручное веретено	wúz-um xu wūrγ̌ žīvd čalák-ti я свою шерсть перепряла на ручном веретене; di xu čalák zi! возьми свое веретено!	м.
čālák	čalak												скамеечка внутри жилища	čīd-darū́n-ēn aráy čālák as kicṓr xēzā́ǰ: yīw darū́n čālā́k, ðiyů́n-ēn vaǰ čālák внутри дома три скамеечки перед очагом: одна средняя скамеечка и две наружных	
čālín	čalin												грязный, мокрый	dam zimc vá-yum půnd tūyd xu mu pêxḗn-ēn čālín sat я ходил по этому полю, и мои сапоги промокли	
čalíx	čalix												значение, ценность	pū́l-and čalíx̌ na rēðǰ деньги потеряли значение	
čallū́s	čallus												хитрец, пройдоха, жулик		
čambā́r	čambar,čanbar	čanbā́r											обруч		
can	can												ружье, винтовка		ж.
čān	čan,čint,čunt,činč,čintow			čīnt			čůnt	čīnč			čīntṓw		рыть, копать (землю)		
can-dōrí	candori												порох		
can-kamūnák	cankamunak,kancamunak	kan-camūnák											лук-праща, лук с двойной тетивой, из которого стреляют камнями		
čand	čand												сколько, несколько	vō čand wáxt-ga yōðd возвращается через несколько времени; yi-čand sōl mu tāt zindagůní wēv qatī́r kixt несколько лет мой отец живет с ними; čand sōl, čand mo ik-di dar-mōbḗn naγ̌ǰī́d! сколько лет, сколько месяцев прошло между тем!	(малоупотр., ср. cůnd)
čandī́n	čandin												сколько-то, несколько		(в сказках)
čāng	čang												коготь		
čāng	čang												музыкальный инструмент, варган		
čangín	čangin												муха		ж.
čangṓl	čangol												когти		
čangṓl ðêdṓw	čangol ðedow												царапать	piš mu čangṓl ðōd кошка меня оцарапала; palā́ng-and-ēn wam čangōlḗn lap tēz у барсов очень острые когти	
caníč	canič												лучок для переборки шерсти		
caníč ðêdṓw	canič ðedow												перебирать шерсть (при помощи лучка)		
čanṓr	čanor												чинар		
čap	čap,čapt,čapt,čapč,čaptow			čapt			čapt	čapč			čaptṓw		чавкать, шлепать по грязи (звукоподраж.)		
čāp	čap												левый, вывернутый; оборот, изнанка		
čap ðêdṓw	čap ðedow												стирать (белье)	wuz xu līlḗn čap ðā́ðum я постираю свое белье	
čāp-dast	čapdast												левша		
čapā́n	čapan												халат (не шерстяной — ситцевый, шелковый, сатиновый и т. д.)	rūšt čapā́n красный халат	м.
čappā́ čīdṓw	čappa čidow												разворотить, разрушить, уничтожить	yi sōl zamī́n-ǰum ðōd xu, dáð-i Sarḗs nům ǰṓ-yi čappā́ čūd однажды произошло землетрясение и совершенно уничтожило селение Сарез; rīx̌t xāvd xu dāð-i wam jangā́l čappā́ čūd лавина спустилась и совершенно уничтожила тот лес	
čapwī́ð-tṓrx̌	čapwiðtorx												плотничий инструмент (вроде топора)		
čāq	čaq												власть, обладание	falůní mu čā́q-and такой-то в моей власти; tar čāq wēðdṓw забрать в руки, завладеть, подчинить	
čaq-čaq	čaqčaq												болтовня, разговор		
čaq-čaq čīdṓw	čaqčaq čidow												болтать, разговаривать	yi lāv čaq-čáq-um wam qatī́r čūd я с ней немножко поболтала	
čaqák	čaqak												хлопушка (игрушка); развилина (инструмент для обрезания)		
čaqirím	čaqirim,čaqir	čaqir											верста	wā́ð-ēn ðu čaqír půnd tōyd они прошли две версты	
card	card												зачем? для чего? почему?		(= čī́zard)
čarmák	čarmak,čarmaken											čarmakḗn	тальниковые петли, поддерживающие веретено в самопрялке		(обычно употр. мн.)
čarmák	čarmak												съедобная трава, растущая весной на полевых межах		
čarmangúx̌	čarmangux												точильный камень больших размеров для топора, тесла и т. п		
čarṓ čīdṓw	čaro čidow												пастись	nur māš mōl čarṓ na kix̌t сегодня наш скот не пасется	
čarṓ ðêdṓw	čaro ðedow												пасти		
čarṓ didi	čaro didi												потому что		
čarōgṓ	čarogo												пастбище	yik-am ǰōy mudů́m-aθ māš čarōgṓ vud это место всегда было нашим пастбищем	
čarrṓ	čarro,čaro	čarṓ											пастьба		
čars	čars												гашиш		(=bang)
čarů́n	čarun,čarunt			čarů́nt									пасти		
čarví	čarvi												жир, сало; сальник		
čarvidṓr	čarvidor												тучный, жирный	wúz-um čarvidṓr, wuz na x̌icī́m я тучен, я не озябну (не замерзну)	
čārx	čarx												колесо (телеги, мельницы, точильное)	mu čā́rx-ti rēg nist на моем точильном колесе нет песку	
čārx	čarx												самопрялка	dam čārx nêγ̌d покрути-ка эту самопрялку!	ж.
čā́rx ðêdṓw	čarx ðedow,čarx tiždow	čā́rx tīždṓw											точить	wuz xu čêd čārx ðā́ðum я наточу свой нож; mu čêd tu čārx tāž наточи мой нож	
čārx-rēg	čarxreg												точильный камень		
čarxā́	čarxa												осыпь, мелкие камни, скатывающиеся с горы; обвал		
